1girl,單個女孩
striped_clothes,條紋服裝
hair_bun,盤發
nail_polish,指甲油
from_behind,從背後
star_(symbol),星星(符號)
mole,痣
looking_at_another,注視他人
water,水
hair_over_one_eye,頭髮遮住一隻眼
bag,包
rabbit_ears,兔耳朵
chibi,Q版
orange_hair,橙色頭髮
blurry,模糊
grin,咧嘴笑
sweatdrop,滴汗
clothes_lift,衣服掀起
black_dress,黑色連衣裙
scarf,圍巾
cape,斗篷
white_thighhighs,白色過膝襪
black_eyes,黑色眼睛
two-tone_hair,雙色頭髮
english_text,英文字
speech_bubble,講話氣泡
streaked_hair,條紋頭髮
bra,胸罩
yuri,百合
armor,盔甲
huge_breasts,巨乳
vest,背心
open_jacket,開放夾克
halo,光環
from_side,側面視角
apron,圍裙
mosaic_censoring,馬賽克遮擋
feet,腳
red_bow,紅色蝴蝶結
arm_up,抬起手臂
white_panties,白色內褲
leotard,緊身連體衣
character_name,人物名稱
coat,外套
black_jacket,黑色夾克
vaginal,陰道
high_heels,高跟鞋
:o,:o
collar,項圈
arms_up,雙臂上舉
sweater,毛衣
bracelet,手鏈
blue_sky,藍天
flat_chest,平胸
twin_braids,雙馬尾辮
dated,有日期
uniform,制服
side_ponytail,側馬尾
animal_ear_fluff,動物耳毛絨
red_ribbon,紅色絲帶
crop_top,露臍裝
cup,杯子
aqua_eyes,湛藍雙眼
dark-skinned_female,深膚色女性
black_shirt,黑色襯衫
covered_nipples,透過衣服可見的乳頭
puffy_short_sleeves,泡泡短袖
parted_bangs,分開的劉海
completely_nude,完全裸露
blue_skirt,藍色裙子
two_side_up,雙側盤發
fingernails,指甲
black_pantyhose,黑色連褲襪
tree,樹
hands_up,舉手
looking_to_the_side,看向一邊
v-shaped_eyebrows,V形眉毛
grey_eyes,灰色眼睛
orange_eyes,橙色眼睛
legs,腿部
neckerchief,領巾
sleeves_past_wrists,袖子超過手腕
sketch,草圖
cat_tail,貓尾
groin,腹股溝
symbol-shaped_pupils,符號狀瞳孔
eyelashes,睫毛
wet,濕的
fur_trim,毛皮鑲邊
see-through,透視
lips,嘴唇
wrist_cuffs,手腕袖口
hand_on_own_hip,手放在自己的臀部上
loli,蘿莉
pillow,枕頭
head_tilt,歪頭
gun,槍
maid,女僕
strapless,無肩帶
zettai_ryouiki,絕對領域
clothing_cutout,衣服開口
black_headwear,黑色頭飾
plaid,格子紋
bar_censor,馬賽克條形
torn_clothes,撕裂的衣服
mole_under_eye,眼下痣
fox_ears,狐狸耳朵
toes,腳趾
multiple_views,多視圖
one-piece_swimsuit,連體泳衣
book,書
sash,腰帶
maid_headdress,女僕發飾
sleeveless_shirt,無袖襯衫
short_shorts,超短褲
bare_arms,裸露手臂
sleeveless_dress,無袖連衣裙
feet_out_of_frame,腳不在畫面中
pubic_hair,陰毛
gradient_background,漸變背景
ascot,阿斯科特領帶
shiny_skin,有光澤的皮膚
v,V形手勢
pokemon_(creature),寶可夢（生物）
black_panties,黑色內褲
cosplay,角色扮演
sparkle,閃光
no_humans,沒有人的
fake_animal_ears,假動物耳朵
muscular,肌肉發達
petals,花瓣
kneehighs,及膝襪
bare_legs,裸腿
window,窗戶
uncensored,未審查
thigh_strap,大腿綁帶
black_bow,黑色蝴蝶結
single_braid,單辮
covered_navel,覆蓋的肚臍
hoodie,連帽衫
neck_ribbon,頸部絲帶
black_ribbon,黑色絲帶
detached_collar,獨立領子
gradient_hair,漸變發色
upper_teeth_only,僅上排牙齒
tattoo,紋身
dutch_angle,荷蘭角度
black_choker,黑色頸圈
dress_shirt,襯衫
buttons,紐扣
double_bun,雙丸子頭
blurry_background,模糊背景
open_shirt,敞開的襯衫
profile,側面
sideboob,側胸
kneeling,跪著
makeup,化妝
blood,血液
bell,鐘
military,軍事
hug,擁抱
saliva,唾液
floating_hair,飄浮的頭髮
aqua_hair,水色頭髮
mask,面具
pov,第一人稱視角
colored_skin,彩色皮膚
skindentation,皮膚凹陷
swept_bangs,偏梳劉海
anus,肛門
capelet,小披肩
bodysuit,連體緊身衣
leaning_forward,向前傾斜
facial_hair,面部毛髮
4girls,四個女孩
blue_dress,藍色連衣裙
night,夜晚
shadow,影子
black_pants,黑色褲子
pussy_juice,陰道液
bed,床
copyright_name,版權名
no_bra,不穿胸罩
black_bikini,黑色比基尼
:3,：3
4koma,四格漫畫
heterochromia,異色瞳
depth_of_field,景深
nose_blush,鼻子泛紅
white_headwear,白色頭飾
red_skirt,紅色短裙
alternate_hairstyle,備用髮型
blue_bow,藍色蝴蝶結
turtleneck,高領毛衣
fruit,水果
fox_tail,狐尾
^_^,^_^
blue_background,藍色背景
border,邊框
underboob,下乳
watermark,浮水印
witch_hat,女巫帽
cum_in_pussy,射在陰道裡
siblings,兄弟姐妹
highleg,高開叉
low_twintails,低雙馬尾
military_uniform,軍裝
expressionless,面無表情
frown,皺眉
bird,鳥
no_panties,無內褲
on_bed,在床上
rose,玫瑰
one_side_up,單邊紮發
cameltoe,駱駝趾
headband,頭帶
glowing,發光
black_shorts,黑色短褲
scar,疤痕
horse_ears,馬耳朵
bottomless,裸下身
beret,貝雷帽
ocean,海洋
side-tie_bikini_bottom,側綁帶比基尼底褲
bed_sheet,床單
soles,腳底
animal,動物
brown_footwear,棕色鞋類
holding_hands,牽手
wavy_hair,波浪發
fangs,尖牙
halterneck,露肩裝
thick_thighs,粗大腿
leaf,葉子
chain,鏈條
playboy_bunny,花花公子兔女郎
headphones,耳機
piercing,穿孔
arm_support,手臂支撐
from_above,俯視
embarrassed,尷尬
white_jacket,白色夾克
holding_sword,拿著劍
white_socks,白色襪子
hair_intakes,發渦
back,背部
blush_stickers,腮紅貼紙
chinese_clothes,中國服飾
white_bikini,白色比基尼
ass_visible_through_thighs,臀部透過大腿可見
erection,勃起
phone,電話
no_shoes,不穿鞋
facial_mark,臉部標記
chair,椅子
thick_eyebrows,濃眉
plaid_skirt,格子裙
abs,腹肌
umbrella,雨傘
looking_down,向下看
bandages,繃帶
beach,海灘
thigh_boots,大腿靴
white_footwear,白色鞋子
horse_girl,馬女孩
half-closed_eyes,半閉眼
headgear,頭飾
sandals,涼鞋
on_side,側躺
6+girls,六個或更多女孩
female_pubic_hair,女性陰毛
muscular_male,肌肉男
floral_print,花卉圖案
heart-shaped_pupils,心形瞳孔
bob_cut,鮑伯頭
garter_straps,吊襪帶繩
short_dress,短裙
drill_hair,鑽頭髮型
wariza,割座
arms_behind_back,背後雙臂
sunglasses,太陽鏡
obi,腰帶
happy,高興
pectorals,胸肌
red_dress,紅色連衣裙
testicles,睾丸
shirt_lift,掀起衣服
eating,吃東西
grabbing,抓
transparent_background,透明背景
traditional_media,傳統媒體
pink_background,粉色背景
flying_sweatdrops,飛濺汗滴
mouth_hold,嘴咬
stuffed_toy,毛絨玩具
dark-skinned_male,黝黑的男性
hood_down,兜帽放下
frilled_dress,褶邊連衣裙
squatting,蹲下
clothes_pull,拉開衣服
cleavage_cutout,露胸剪裁
white_skirt,白色短裙
table,桌子
blue_shirt,藍色襯衫
crossed_arms,雙臂交叉
parody,仿作
light_brown_hair,淺棕色頭髮
thigh_gap,大腿縫隙
wavy_mouth,波狀嘴
from_below,俯視
hair_tubes,發管
leg_up,抬腿
ring,戒指
oral,口交
holding_food,拿食物
bound,被束縛
wolf_ears,狼耳朵
blue_jacket,藍色夾克
black_socks,黑色襪子
moon,月亮
black_hairband,黑色發帶
white_flower,白色花
eyepatch,眼罩
scrunchie,發圈
skirt_lift,裙子掀起
sunlight,陽光
standing_on_one_leg,單腿站立
white_bow,白色蝴蝶結
formal,正式
topless,上身裸露
cat,貓
demon_girl,惡魔女孩
cat_girl,貓女孩
trembling,顫抖
mob_cap,軟帽
cardigan,開衫
backpack,背包
magical_girl,魔法少女
cellphone,手機
pantyshot,走光內褲
own_hands_together,雙手合十
eyes_visible_through_hair,透過頭髮可見眼睛
crossed_legs,交叉雙腿
frilled_skirt,褶邊裙
grass,草
demon_horns,惡魔角
crying,哭泣
sharp_teeth,尖牙齒
tank_top,背心
sleeping,睡覺
cover,封面
single_hair_bun,單個髮髻
cloudy_sky,多雲的天空
blazer,休閒西裝
suspenders,吊帶褲
high_ponytail,高馬尾
helmet,頭盔
suit,套裝
feathers,羽毛
3boys,三個男孩
cum_on_body,射在身體上
bottle,瓶子
stuffed_animal,填充動物玩具
x_hair_ornament,X形發飾
underwear_only,僅穿內衣
bdsm,BDSM
fox_girl,狐狸女孩
plant,植物
black_background,黑色背景
blue_ribbon,藍色絲帶
frilled_sleeves,荷葉邊袖子
grabbing_another's_breast,抓他人的胸部
portrait,肖像
antenna_hair,天線發
looking_up,仰望
light_smile,微笑
bara,薔薇
school_swimsuit,校用泳衣
straddling,跨坐
cross,十字
hat_ribbon,帽子緞帶
fire,火
bug,昆蟲
denim,牛仔布
crown,皇冠
knee_boots,膝靴
pink_bow,粉色蝴蝶結
;d,;d
red_necktie,紅領帶
lifted_by_self,自舉
outstretched_arms,伸開的手臂
fellatio,口交
tiara,皇冠
katana,刀
couple,情侶
breasts_out,二乳露出
aged_down,年齡減小
red_flower,紅花
on_stomach,趴著
crossover,角色聯動
juliet_sleeves,茱麗葉袖
robot,機器人
curtains,窗簾
motion_lines,運動線
spiked_hair,尖刺髮型
sisters,姐妹
sex_from_behind,從後進入
girl_on_top,女孩在上
polka_dot,圓點
>_<,>_<
black_nails,黑色指甲
knife,刀
bat_wings,蝙蝠翅膀
ear_piercing,耳部穿刺
outstretched_arm,伸展開的手臂
?,問號
slit_pupils,狹長瞳孔
wing_collar,翅領
bent_over,彎腰
pointing,指點
lingerie,內衣
animal_print,動物印花
clenched_teeth,咬緊牙關
bright_pupils,明亮瞳孔
red_shirt,紅色襯衫
elf,精靈
5girls,五個女孩
undressing,脫衣服
striped_thighhighs,條紋大腿襪
blue_sailor_collar,藍色水手領
monster_girl,怪物女孩
rabbit_tail,兔子尾巴
sneakers,運動鞋
black_leotard,黑色緊身連體衣
hand_on_own_chest,手放在自己胸前
white_border,白色邊框
t-shirt,T恤
tassel,流蘇
holding_gun,持槍
head_wings,頭部翅膀
all_fours,四肢著地
gem,寶石
yaoi,耽美
red_footwear,紅色鞋類
white_apron,白圍裙
tan,曬黑
bondage,捆綁
red_bowtie,紅色蝴蝶結
furry,動物擬人
hair_bobbles,發繩珠
short_twintails,短雙馬尾
messy_hair,淩亂的頭髮
lipstick,口紅
green_skirt,綠色短裙
goggles,護目鏡
shoulder_armor,肩甲
holding_cup,持杯
brooch,胸針
building,建築物
group_sex,群體性行為
polearm,長柄武器
black_bra,黑色胸罩
horse_tail,馬尾巴
otoko_no_ko,男の娘
fishnets,魚網襪
staff,法杖
shaded_face,陰影面孔
1other,單個其他
letterboxed,信箱模式
loafers,樂福鞋
crescent,新月形
towel,毛巾
straight_hair,直發
star_(sky),星星(天空)
cherry_blossoms,櫻花
single_thighhigh,單只過膝襪
kiss,接吻
feathered_wings,羽毛翅膀
clenched_hand,握緊的手
bandaid,創可貼
pink_dress,粉色裙子
^^^,^^^
strapless_leotard,無肩帶緊身衣
box,盒子
hat_bow,帽子上的蝴蝶結
wind,風
facing_viewer,面朝觀眾
grey_shirt,灰色襯衫
black_necktie,黑色領帶
multiple_tails,多尾巴
drooling,流口水
no_pants,不穿褲子
extra_ears,多餘耳朵
eyewear_on_head,頭戴眼鏡
demon_tail,惡魔尾巴
steam,蒸汽
bike_shorts,緊身短褲
yellow_background,黃色背景
dog_ears,狗耳朵
hooded_jacket,帶帽夾克
armband,臂章
instrument,樂器
casual,休閒裝
butterfly,蝴蝶
surprised,驚訝
night_sky,夜空
panty_pull,拽內褲
foreshortening,透視縮短
sex_toy,性玩具
pale_skin,蒼白的皮膚
child,孩子
breast_press,壓胸
revealing_clothes,暴露服
anal,肛交
red_headwear,紅色頭飾
gauntlets,護手
white_ribbon,白色絲帶
rope,繩子
sheath,鞘
china_dress,旗袍
ribbon_trim,緞帶飾邊
pink_panties,粉色內褲
adapted_costume,改編服裝
knees_up,屈膝上揚
multicolored_clothes,多色服飾
cover_page,封面頁
candy,糖果
wristband,手腕帶
between_breasts,夾在胸部之間
red_background,紅色背景
couch,沙發
hakama,袴
blouse,女襯衫
wet_clothes,濕衣服
musical_note,音符
colored_inner_hair,內層染髮
hair_over_shoulder,披肩髮
ejaculation,射精
scenery,風景
skin_fang,皮膚獠牙
puffy_long_sleeves,蓬鬆長袖
arms_behind_head,雙手放腦後
veil,面紗
nature,自然
breath,呼吸
male_pubic_hair,男性陰毛
red_jacket,紅色夾克
genderswap,性別轉換
mole_under_mouth,嘴下痣
red_nails,紅色指甲
lace_trim,蕾絲邊
covering_privates,遮擋私處
side_braid,側編辮
third_eye,第三隻眼
scar_on_face,臉上有疤
waist_apron,腰圍裙
smartphone,智能手機
microphone,話筒
facial,臉射
skirt_set,套裙
christmas,耶誕節
web_address,網址
large_pectorals,大胸肌
pink_flower,粉紅花
pelvic_curtain,懸垂布
light_blush,輕微臉紅
...,...
strapless_dress,無肩帶連衣裙
anger_vein,怒紋
baseball_cap,棒球帽
beard,鬍鬚
string_bikini,細帶比基尼
interlocked_fingers,十指相扣
striped_panties,條紋內褲
light_particles,光粒子
blue_headwear,藍色頭飾
claws,爪子
breasts_apart,乳房分開
bridal_gauntlets,新娘手套
cloak,斗篷
toenails,腳趾甲
peaked_cap,鴨舌帽
index_finger_raised,豎起的食指
highleg_leotard,高叉緊身衣
red_neckerchief,紅色領巾
glowing_eyes,發光的眼睛
white_pupils,白色瞳孔
short_hair_with_long_locks,短髮長髮絲
purple_dress,紫色連衣裙
side-tie_panties,綁帶內褲
semi-rimless_eyewear,半框眼鏡
low_ponytail,低馬尾
white_pantyhose,白色連褲襪
convenient_censoring,方便的遮擋
jingle_bell,鈴鐺
motor_vehicle,機動車
hand_fan,扇子
two-tone_background,兩色背景
grey_skirt,灰色裙子
front-tie_top,前綁帶上衣
bow_panties,蝴蝶結內褲
mecha,機甲
buckle,扣環
hair_flaps,側邊發束
twin_drills,雙鑽頭發
clothes_writing,文字衣服
areola_slip,乳暈滑出
carrying,搬運
pom_pom_(clothes),衣物上的小絨球
clothing_aside,撩開內衣
androgynous,中性
pink_nails,粉紅指甲
micro_bikini,超小比基尼
angry,生氣
close-up,特寫
yellow_bow,黃色蝴蝶結
maid_apron,女僕圍裙
forehead,前額
sleeves_past_fingers,超長袖子
hood_up,戴兜帽
wolf_tail,狼尾巴
meme,模因
cum_on_breasts,精液在胸部
corset,緊身胸衣
neck_bell,頸鈴
blue_nails,藍色指甲
skin_tight,緊貼皮膚
hand_on_own_face,手放在自己臉上
paizuri,乳交
rifle,步槍
o-ring,O形環
eyeshadow,眼影
tentacles,觸手
patreon_username,patreon用戶名
hakama_skirt,裙子樣式的袴
black_belt,黑腰帶
lace,蕾絲
holding_phone,手持電話
french_braid,法式辮子
no_headwear,沒有戴頭飾
tokin_hat,冬金帽
spoken_heart,話語中的愛心
:<,:<
white_sleeves,白色袖子
cropped_jacket,短上衣
eye_contact,目光接觸
curvy,曲線
cropped_legs,截斷的腿
faceless,無臉
licking,舔
bikini_top_only,只穿比基尼上衣
brown_gloves,棕色手套
crossed_bangs,交叉劉海
plate,盤子
restrained,被束縛
snow,雪
outside_border,超出邊界
red_gloves,紅色手套
mary_janes,瑪麗珍鞋
full_moon,滿月
spikes,尖刺
tearing_up,眼淚盈眶
colored_sclera,有色鞏膜
black_wings,黑色的翅膀
science_fiction,科幻
blue_bikini,藍色比基尼
holding_book,拿著書
:p,吐舌
side_slit,側開叉
gift,禮物
desk,書桌
black_coat,黑色外套
camisole,吊帶背心
alternate_breast_size,變化胸部大小
finger_to_mouth,手指靠近嘴唇
ball,球
strap_slip,襪口滑落
armlet,臂環
green_bow,綠色蝴蝶結
single_horn,獨角
lens_flare,鏡頭光暈
cowgirl_position,騎乘體位
floating,漂浮
dragon_horns,龍角
drinking_glass,玻璃杯
hair_scrunchie,發圈
arm_at_side,一隻手臂在身側
sleeves_rolled_up,卷起袖子
seiza,正座
genderswap_(mtf),性別轉換_(男性變女性)
gold_trim,金色飾邊
puffy_nipples,團狀乳頭
blue_necktie,藍色領帶
santa_hat,聖誕帽
clenched_hands,緊握的手
after_sex,事後
black_sailor_collar,黑色水手領
wide_hips,寬臀
pink_skirt,粉紅色裙子
single_glove,單只手套
pink_ribbon,粉紅色絲帶
veins,靜脈
smoke,煙霧
tareme,垂眼
white_sailor_collar,白色水手領
handgun,手槍
heavy_breathing,大喘氣
between_legs,兩腿之間
half_updo,半紮發
zipper,拉鍊
knee_up,單膝抬起
brown_background,棕色背景
starry_sky,星空
masturbation,手淫
blue_flower,藍花
handjob,手交
tsurime,釣り目
open_coat,敞開外套
freckles,雀斑
blue_shorts,藍色短褲
demon_wings,惡魔翅膀
wading,涉水
pencil_skirt,鉛筆裙
happy_birthday,生日快樂
fish,魚
green_background,綠色背景
pink_shirt,粉色襯衫
alcohol,酒精
clothed_sex,穿衣性行為
pendant,吊墜
ribbed_sweater,羅紋毛衣
topless_male,裸上身男性
dual_persona,雙重人格
clothed_female_nude_male,穿衣女性裸露男性
high_heel_boots,高跟靴子
track_jacket,運動夾克
single_earring,單只耳環
outline,輪廓
frilled_apron,褶邊圍裙
spot_color,局部上色
partially_submerged,部分浸入
tray,託盤
low-tied_long_hair,低紮長髮
asymmetrical_legwear,不對稱襪子
swim_ring,游泳圈
sweater_vest,背心毛衣
purple_background,紫色背景
cross-laced_footwear,交叉綁帶鞋履
arm_behind_back,背後放置手臂
reflection,反射
forest,森林
!,!
upskirt,裙底風光
legs_up,雙腿抬起
headset,耳麥
black_vest,黑色背心
frilled_bikini,荷葉邊比基尼
walking,走路
cake,蛋糕
white_skin,白皮膚
hair_rings,環形髮型
beads,珠子
pocket,口袋
personification,擬人化
one-hour_drawing_challenge,一小時繪畫挑戰
mature_male,成熟男性
backlighting,逆光
halloween,萬聖節
vertical-striped_clothes,豎條紋的衣服
bulge,凸起
dress_lift,提裙
green_dress,綠色連衣裙
unworn_headwear,未戴頭飾
frilled_shirt_collar,荷葉邊襯衫領
legs_apart,分開的雙腿
long_fingernails,長指甲
toned,結實
mole_on_breast,乳房上的痣
broom,掃帚
black-framed_eyewear,黑框眼鏡
arm_behind_head,手臂放頭後
brown_pantyhose,棕色連褲襪
thong,丁字褲
condom,避孕套
red_bikini,紅色比基尼
short_ponytail,短馬尾
out_of_frame,超框
purple_bow,紫色蝴蝶結
long_skirt,長裙
high-waist_skirt,高腰裙
round_eyewear,圓形眼鏡
crying_with_eyes_open,睜眼流淚
rain,雨
blue_footwear,藍色鞋類
crossdressing,變裝
angel_wings,天使翅膀
white_bra,白色胸罩
cuffs,束縛帶
flying,飛行
gym_uniform,運動服
cumdrip,精液滴落
purple_skirt,紫色裙子
yellow_shirt,黃襯衫
cropped_torso,裁剪腰部
one_eye_covered,一隻眼睛被遮擋
goggles_on_head,頭頂護目鏡
bubble,泡泡
black_bowtie,黑色蝴蝶結
hand_in_own_hair,手在自己頭髮中
braided_ponytail,編織馬尾辮
age_difference,年齡差異
red-framed_eyewear,紅框眼鏡
fingering,手指插入
epaulettes,肩章
curly_hair,卷髮
empty_eyes,空洞眼
ribbon-trimmed_sleeves,緞帶裝飾袖
dot_nose,點鼻子
santa_costume,聖誕老人服裝
futanari,雙性人
teacup,茶杯
kemonomimi_mode,動物耳模式
high_collar,高領
doujin_cover,同人封面
raised_eyebrows,眉毛上揚
brown_jacket,棕色夾克
tanlines,曬痕
rape,強暴
6+boys,6+男孩
denim_shorts,牛仔短褲
spoken_ellipsis,省略號的對話方塊
brown_skirt,棕色裙子
bowl,碗
hat_ornament,帽飾
dragon_girl,龍女
animal_hands,動物手
hand_on_another's_head,手放在別人頭上
panties_under_pantyhose,褲襪下的內褲
innertube,游泳圈
sideburns,鬢角
buruma,布魯瑪
4boys,四個男孩
@_@,＠_＠
contrapposto,對立式
white_pants,白色褲子
school_bag,學校包
jitome,死魚眼
nontraditional_miko,非傳統巫女
pouch,小袋
thighband_pantyhose,大腿帶絲襪
:q,:q
emphasis_lines,強調線
doggystyle,後背式
black_serafuku,黑色水手服
faceless_male,無臉男性
cigarette,香煙
dual_wielding,雙持
breast_hold,托胸
red_scarf,紅色圍巾
fur_collar,毛皮領
green_jacket,綠色夾克
abyssal_ship,深海艦
sailor_dress,水手連衣裙
asymmetrical_hair,非對稱髮型
knees_together_feet_apart,膝蓋併攏腳分開
robe,長袍
spread_pussy,撐開陰唇
garter_belt,吊襪帶
white_shorts,白色短褲
machinery,機械裝置
hand_in_pocket,單手插兜
pauldrons,肩甲
naughty_face,調皮臉
competition_swimsuit,競技泳衣
dog_tail,狗尾巴
cum_in_mouth,口內射精
legs_together,雙腿併攏
mini_person,小人
yellow_ribbon,黃色絲帶
lolita_fashion,洛麗塔時尚
head_rest,頭部休息
running,跑步
hands_on_own_hips,手放在自己臀部上
top_hat,高頂禮帽
sun_hat,太陽帽
plump,豐滿
furry_female,女性擬獸
white_hairband,白色發帶
asymmetrical_bangs,非対稱劉海
ass_grab,抓屁股
threesome,三人行
watch,手錶
thought_bubble,思考泡泡
fake_tail,假尾巴
blood_on_face,臉上有血
sunset,日落
blue_one-piece_swimsuit,藍色連體泳衣
twins,雙胞胎
furrowed_brow,皺眉
turtleneck_sweater,高領毛衣
monster,怪物
dog,狗
star_hair_ornament,星形發飾
white_kimono,白色和服
sports_bra,運動文胸
under-rim_eyewear,下框眼鏡
drinking_straw,吸管
white_wings,白色的翅膀
grey_jacket,灰色夾克
aged_up,角色變老
new_year,新年
poke_ball,精靈球
blurry_foreground,模糊前景
wide-eyed,圓眼睛
skull,頭骨
shield,盾牌
shiny_clothes,閃亮的衣服
mature_female,成熟女性
female_masturbation,女性自慰
white_coat,白色外套
missionary,傳教士體位
striped_shirt,條紋襯衫
breasts_squeezed_together,擠壓胸部
impossible_clothes,不可能衣服
jeans,牛仔褲
yellow_flower,黃色花
rabbit,兔子
ghost,鬼魂
circlet,環狀頭飾
red_rose,紅玫瑰
belt_buckle,腰帶扣
teddy_bear,泰迪熊
hair_down,披頭散髮
blue_theme,藍色主題
ice,冰
multicolored_eyes,多色眼
holding_umbrella,撐傘
v_arms,V字手臂
paper,紙
+_+,+_+
shoulder_bag,單肩包
green_shirt,綠色襯衫
serious,嚴肅
height_difference,身高差
official_alternate_hairstyle,官方替代髮型
partially_fingerless_gloves,部分指less手套
stubble,胡茬
spear,矛
hand_between_legs,手在腿間
sarashi,纏身布
colored_eyelashes,睫毛上色
paw_pose,爪姿勢
striped_bikini,條紋比基尼
crystal,水晶
,
wooden_floor,木地板
shawl,圍巾
bandaged_arm,纏繃帶的手臂
injury,受傷
hairpin,發簪
rabbit_girl,兔女郎
rock,岩石
lantern,燈籠
hoop_earrings,圈形耳環
sheathed,帶鞘的
purple_flower,紫色花
mug,馬克杯
bouncing_breasts,彈跳的胸部
unworn_hat,未穿戴的帽子
object_insertion,物品插入
popsicle,冰棒
blue_bowtie,藍色領結
lollipop,棒棒糖
long_legs,長腿
tentacle_hair,觸手頭髮
eyebrows_hidden_by_hair,眉毛被頭髮遮擋
smirk,得意笑
minigirl,迷你女孩
green_headwear,綠色頭飾
wolf_girl,狼女孩
mirror,鏡子
yukata,浴衣
upside-down,顛倒
water_drop,水滴
light_blue_hair,淡藍色頭髮
bouquet,花束
mini_hat,迷你帽子
white_leotard,白色緊身衣
purple_shirt,紫色襯衫
military_hat,軍帽
reaching,伸手
breastplate,胸甲
pajamas,睡衣
brown_headwear,棕色頭飾
snowing,下雪
black_sleeves,黑色袖子
blue_pants,藍色褲子
bespectacled,戴眼鏡
light_rays,光線
butt_crack,屁溝
o_o,o_o
dragon_tail,龍尾
holding_staff,拿著法杖
page_number,頁碼
oni,鬼
enmaided,假裝女僕
shirt_tucked_in,襯衫束在裡面
striped_bow,條紋蝴蝶結
open_book,打開的書
tress_ribbon,發綹絲帶
glint,閃光
mouth_mask,口罩
handbag,手提包
ass_focus,臀部特寫
blue_panties,藍色內褲
pink_lips,粉紅色的嘴唇
stairs,樓梯
:t,:t
animal_hood,動物兜帽
hugging_object,擁抱物品
